stfips,year,_nfd,post,asmrs,pcinc,asmrh,cases,weight,copop
1,1964.0,1971.0,0.0,35.639885,12406.178536626427,5.007341,0.012312242563072263,1715156.0,1715155.9968452454
1,1965.0,1971.0,0.0,41.543755,13070.206738168634,4.4253674,0.010419406556172552,1715156.0,1725186.225315094
1,1966.0,1971.0,0.0,34.252335,13526.663216672472,4.874819,0.009900097090362086,1715156.0,1735218.6727600098
1,1967.0,1971.0,0.0,34.465023,13918.189822726194,5.3620143,0.009974691951997775,1715156.0,1745250.2209701538
1,1968.0,1971.0,0.0,40.440105,14684.808682325473,4.6437593,0.012400658604136095,1715156.0,1755283.1153182983
1,1969.0,1971.0,0.0,42.49012,15638.876270398907,5.2969756,0.015006756108632488,1715156.0,1765316.0
1,1970.0,1971.0,0.0,44.239075,16222.948376087923,4.716939,0.01970314181655694,1715156.0,1787363.0
1,1971.0,1971.0,1.0,49.914665,16875.429944318046,4.9925036,0.022737450987761032,1715156.0,1809412.0
1,1972.0,1971.0,1.0,47.203133,17976.755117173263,5.1870227,0.02355598077972205,1715156.0,1831191.0
1,1973.0,1971.0,1.0,41.033073,18808.24655590135,5.085546,0.025031525329604246,1715156.0,1853536.0
1,1974.0,1971.0,1.0,46.202812,18726.044005789492,5.320889,0.02433601866999025,1715156.0,1879094.0
1,1975.0,1971.0,1.0,39.240166,19007.469935200483,5.5091386,0.026878137290359552,1715156.0,1907830.0
1,1976.0,1971.0,1.0,48.39191,19851.200477009283,6.2756543,0.027322683473111887,1715156.0,1938304.0
1,1977.0,1971.0,1.0,40.519447,20306.106891471234,5.924365,0.028563072177334912,1715156.0,1962569.0
1,1978.0,1971.0,1.0,33.858315,21214.73154628612,4.301366,0.02935266631305135,1715156.0,1990864.0
1,1979.0,1971.0,1.0,36.346275,21322.099822984084,4.907836,0.03027991809443353,1715156.0,2009957.0
1,1980.0,1971.0,1.0,32.302937,20977.435037407362,6.821158,0.03117795860948514,1715156.0,2025456.0
1,1981.0,1971.0,1.0,42.33469,21173.200155142666,4.5391192,0.029371464605042544,1715156.0,2036194.0
1,1982.0,1971.0,1.0,37.64971,21060.714974369752,4.5884314,0.02684052974245247,1715156.0,2041319.0
1,1983.0,1971.0,1.0,41.42575,21586.774736423657,4.4126906,0.026885758202649487,1715156.0,2045203.0
1,1984.0,1971.0,1.0,44.17102,22701.93857484657,4.5121655,0.026561715772012075,1715156.0,2054834.0
1,1985.0,1971.0,1.0,39.968536,23520.066898395,4.72227,0.025002052180706082,1715156.0,2066907.0
1,1986.0,1971.0,1.0,43.817947,24343.559886732266,4.0160513,0.023762056752784665,1715156.0,2076879.0
1,1987.0,1971.0,1.0,42.043743,24777.579701769693,4.8329034,0.022349830086631887,1715156.0,2089300.0
1,1988.0,1971.0,1.0,44.654118,25658.858779785103,4.9995065,0.021586496177525203,1715156.0,2093975.0
1,1989.0,1971.0,1.0,41.666885,26735.59635623718,5.2763786,0.02139487303173126,1715156.0,2097952.0
1,1990.0,1971.0,1.0,40.95203,26925.45935018445,5.458165,0.02160229742737939,1715156.0,2109548.0
1,1991.0,1971.0,1.0,39.238834,27108.992857784786,6.5545397,0.022683101676689632,1715156.0,2134265.0
1,1992.0,1971.0,1.0,37.874073,28096.813245968748,4.825993,0.023619105714198,1715156.0,2160659.0
1,1993.0,1971.0,1.0,43.123974,28268.878889737014,5.8639994,0.023523155265312234,1715156.0,2190193.0
1,1994.0,1971.0,1.0,46.042503,28996.312101923446,5.0067058,0.022403425466593522,1715156.0,2212954.0
1,1995.0,1971.0,1.0,33.598522,29685.67486072138,5.123218,0.020127801113384147,1715156.0,2230497.0
1,1996.0,1971.0,1.0,40.41017,29922.27277559567,4.7924223,0.018379387952745827,1715156.0,2247223.0
4,1964.0,1973.0,0.0,73.52872,15551.315937634792,3.0832183,0.012882651967025682,744813.0,744813.0005550385
4,1965.0,1973.0,0.0,82.4312,15962.689260477353,3.0058677,0.01222510734895405,744813.0,769209.3327484131
4,1966.0,1973.0,0.0,59.255363,16581.27010182433,5.07429,0.012180492803603801,744813.0,793605.000705719
4,1967.0,1973.0,0.0,81.493416,17214.603201792925,3.8368979,0.012326803360232908,744813.0,818000.6639728546
4,1968.0,1973.0,0.0,72.93674,18610.393365514054,5.394385,0.012177571314698444,744813.0,842395.6689090729
4,1969.0,1973.0,0.0,81.31187,20097.643257997606,3.626656,0.012700042493707663,744813.0,866795.0
4,1970.0,1973.0,0.0,61.680107,21109.88728183204,3.952335,0.015342121096100203,744813.0,914150.0
4,1971.0,1973.0,0.0,103.906136,21886.982558887776,4.2983394,0.017928923926552643,744813.0,961505.0
4,1972.0,1973.0,0.0,101.922516,22979.02531498854,3.9124825,0.018427992212079924,744813.0,1017302.0
4,1973.0,1973.0,1.0,72.253426,23596.891701609602,5.6724834,0.018541942485818558,744813.0,1075584.0
4,1974.0,1973.0,1.0,87.002365,23114.632475412727,4.7677855,0.018148025752775954,744813.0,1125678.0
4,1975.0,1973.0,1.0,80.89824,22327.281048143068,4.6402826,0.01783495838452115,744813.0,1157502.0
4,1976.0,1973.0,1.0,100.65567,22907.77164102938,4.0241504,0.01612178886272347,744813.0,1189441.0
4,1977.0,1973.0,1.0,102.808044,23409.96154539856,5.766947,0.015108256732627782,744813.0,1230624.0
4,1978.0,1973.0,1.0,87.903336,24924.88779387862,4.2550535,0.013570141838196298,744813.0,1277136.0
4,1979.0,1973.0,1.0,80.58761,25564.115811546795,3.9977417,0.012879994563638659,744813.0,1339131.0
4,1980.0,1973.0,1.0,70.88127,25534.172095729,5.1440735,0.013832892481618378,744813.0,1388978.0
4,1981.0,1973.0,1.0,71.159615,25957.761975097674,4.0773487,0.015990148476236275,744813.0,1426446.0
4,1982.0,1973.0,1.0,81.30744,25202.944986143713,4.1528935,0.015115517694364367,744813.0,1466644.0
4,1983.0,1973.0,1.0,74.318184,25846.284489530397,3.2986858,0.016488372401974136,744813.0,1505470.0
4,1984.0,1973.0,1.0,59.356,27230.12207777268,3.9813461,0.01676649607563455,744813.0,1554986.0
4,1985.0,1973.0,1.0,68.18728,28145.96485090756,3.8177066,0.015728711749805432,744813.0,1613848.0
4,1986.0,1973.0,1.0,81.54845,29174.69415442517,4.31641,0.016057342815350876,744813.0,1675874.0
4,1987.0,1973.0,1.0,79.78552,29366.235151648878,3.6138186,0.01710735759158804,744813.0,1740411.0
4,1988.0,1973.0,1.0,64.340546,29673.941485859476,4.847366,0.018505329759236484,744813.0,1789543.0
4,1989.0,1973.0,1.0,60.680202,29836.904083593705,4.739008,0.020374089059989033,744813.0,1832585.0
4,1990.0,1973.0,1.0,56.361282,29284.20452412534,3.6752903,0.024440903826979363,744813.0,1863454.0
4,1991.0,1973.0,1.0,55.507233,28869.359761967622,4.3727126,0.02900238660162024,744813.0,1915555.0
4,1992.0,1973.0,1.0,53.64199,29052.345382607684,4.0572376,0.033083936019640436,744813.0,1978503.0
4,1993.0,1973.0,1.0,59.45742,29398.38251776082,4.2896757,0.03460537107868216,744813.0,2052350.0
4,1994.0,1973.0,1.0,57.458298,30254.223448590772,3.9769106,0.03358971064598518,744813.0,2140400.0
4,1995.0,1973.0,1.0,67.1983,30785.25511686361,4.3484674,0.030452899849451574,744813.0,2231840.0
4,1996.0,1973.0,1.0,50.808468,31404.035029711697,3.4126935,0.026808335522435334,744813.0,2306882.0
5,1964.0,,0.0,50.640495,11637.654202499127,3.4426708,0.007477222742184101,937959.7,937959.6643238068
5,1965.0,,0.0,52.20787,12103.926862584181,3.0161192,0.007786663619536789,937959.7,945655.3358135223
5,1966.0,,0.0,38.315044,13020.647530647317,2.4629204,0.00802965571217672,937959.7,953340.999215126
5,1967.0,,0.0,37.81254,13419.824958495705,3.9291124,0.009174258879213965,937959.7,961022.2234563828
5,1968.0,,0.0,33.50609,13967.912510432418,3.0763228,0.009806870052475714,937959.7,968708.6653709412
5,1969.0,,0.0,35.09294,14831.208801181278,3.4320467,0.010514105628528454,937959.7,976466.0
5,1970.0,,0.0,46.17476,15410.21771573739,4.0204673,0.013649239157432717,937959.7,995782.0
5,1971.0,,0.0,48.643524,16086.527615485678,4.1474047,0.018397416574560965,937959.7,1015138.0
5,1972.0,,0.0,56.25036,17225.678237619053,4.7246947,0.020913021212106617,937959.7,1038165.0
5,1973.0,,0.0,46.958908,18803.628768875595,3.8540525,0.023340364208126484,937959.7,1059138.0
5,1974.0,,0.0,48.406815,18717.644793407435,4.1083646,0.02606979533813766,937959.7,1080970.0
5,1975.0,,0.0,34.737595,18538.197569936405,3.3211408,0.030129356054640337,937959.7,1111145.0
5,1976.0,,0.0,54.560555,19256.76526864043,3.353976,0.03004888932637727,937959.7,1117490.0
5,1977.0,,0.0,43.740124,19781.90032769684,3.2110882,0.026958105486596287,937959.7,1138192.0
5,1978.0,,0.0,41.51071,21150.150932751,5.1235466,0.025674357719556416,937959.7,1156582.0
5,1979.0,,0.0,42.917004,20897.60343496947,4.675163,0.025167598162606483,937959.7,1171950.0
5,1980.0,,0.0,50.51703,20118.073682985818,6.0491366,0.02497898013651077,937959.7,1183008.0
5,1981.0,,0.0,34.026638,20756.519328290888,3.6323771,0.02435779927394231,937959.7,1185948.0
5,1982.0,,0.0,25.051392,20580.91999231099,4.1344914,0.018992217371124165,937959.7,1187131.0
5,1983.0,,0.0,36.122257,20885.620867599504,3.2298439,0.018863330051187507,937959.7,1193325.0
5,1984.0,,0.0,42.4336,22192.728348216402,3.8765824,0.018611170797223235,937959.7,1200726.0
5,1985.0,,0.0,48.357357,22793.837536457013,5.0293145,0.018180915096052103,937959.7,1204624.0
5,1986.0,,0.0,47.84881,23478.07327609469,4.7499046,0.01884748616458963,937959.7,1207650.0
5,1987.0,,0.0,41.247288,23490.28209030401,4.5121408,0.018816468569651065,937959.7,1213042.0
5,1988.0,,0.0,45.517685,24299.36259180172,4.681457,0.019512359915329163,937959.7,1213641.0
5,1989.0,,0.0,33.31609,24948.09910704034,4.486241,0.019737491628725113,937959.7,1215466.0
5,1990.0,,0.0,38.88421,24900.514937321117,5.2574034,0.02050969213133479,937959.7,1220423.0
5,1991.0,,0.0,34.79341,25107.006966753328,6.0748763,0.02135203098700087,937959.7,1232775.0
